Name: Great North Road, Instruction: Head north on Great North Road, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 127.4 meters, Time: 91.7 seconds
Name: -, Instruction: Turn slight right, Distance: 220.3 meters, Time: 158.6 seconds
Name: Crayford Street West, Instruction: Turn left onto Crayford Street West, Distance: 143.6 meters, Time: 103.4 seconds
Name: -, Instruction: Turn right, Distance: 182.7 meters, Time: 131.6 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: New Lynn to Avondale Path, Instruction: Continue straight onto New Lynn to Avondale Path, Distance: 8.7 meters, Time: 6.2 seconds
Name: New Lynn to Avondale Path, Instruction: Turn right onto New Lynn to Avondale Path, Distance: 12.8 meters, Time: 9.2 seconds
Name: New Lynn to Avondale Path, Instruction: Turn right onto New Lynn to Avondale Path, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn slight right, Distance: 283.3 meters, Time: 204.0 seconds
Name: -, Instruction: Turn left, Distance: 100.6 meters, Time: 72.4 seconds
Name: -, Instruction: Turn right, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 434.8 meters, Time: 313.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
