Name: Lower Addison Gardens, Instruction: Head northeast on Lower Addison Gardens, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 421.7 meters, Time: 303.6 seconds
Name: Addison Crescent, Instruction: Turn slight left onto Addison Crescent, Distance: 142.9 meters, Time: 102.9 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: Addison Road, Instruction: Turn right onto Addison Road, Distance: 10.1 meters, Time: 7.3 seconds
Name: Oakwood Court, Instruction: Turn left onto Oakwood Court, Distance: 196.0 meters, Time: 141.1 seconds
Name: Abbotsbury Road, Instruction: Turn left onto Abbotsbury Road, Distance: 56.2 meters, Time: 40.4 seconds
Name: -, Instruction: Turn right, Distance: 155.8 meters, Time: 112.1 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Keep right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Keep left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
