Name: شارع الكامل, Instruction: Head southwest on شارع الكامل, Distance: 287.1 meters, Time: 206.7 seconds
Name: شارع سراي الزعفران, Instruction: Turn slight right onto شارع سراي الزعفران, Distance: 68.8 meters, Time: 49.5 seconds
Name: شارع سراي الزعفران, Instruction: Turn sharp left onto شارع سراي الزعفران, Distance: 230.2 meters, Time: 165.8 seconds
Name: شارع لطفي السيد, Instruction: Turn sharp right onto شارع لطفي السيد, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 105.9 meters, Time: 76.2 seconds
Name: -, Instruction: Keep left, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 96.3 meters, Time: 69.3 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn right, Distance: 274.1 meters, Time: 197.3 seconds
Name: شارع لطفي السيد, Instruction: Turn sharp left onto شارع لطفي السيد, Distance: 269.1 meters, Time: 193.8 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
