Name: Maryvale Road, Instruction: Head north on Maryvale Road, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn slight right, Distance: 133.2 meters, Time: 95.9 seconds
Name: Walsh Road, Instruction: Turn left onto Walsh Road, Distance: 5.2 meters, Time: 3.7 seconds
Name: Archibald Drive, Instruction: Turn right onto Archibald Drive, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Turn left, Distance: 228.3 meters, Time: 164.4 seconds
Name: -, Instruction: Keep right, Distance: 762.7 meters, Time: 549.2 seconds
Name: -, Instruction: Turn slight right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 192.8 meters, Time: 138.8 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Turn right, Distance: 213.3 meters, Time: 153.6 seconds
Name: Titi Lane, Instruction: Turn left onto Titi Lane, Distance: 89.6 meters, Time: 64.5 seconds
Name: Timberland Drive, Instruction: Turn right onto Timberland Drive, Distance: 37.4 meters, Time: 26.9 seconds
Name: Moa-stone Road, Instruction: Turn left onto Moa-stone Road, Distance: 176.4 meters, Time: 127.0 seconds
Name: Harris Drive, Instruction: Turn left onto Harris Drive, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Arrive at Harris Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
