Name: Rue Marcelle, Instruction: Head west on Rue Marcelle, Distance: 62.0 meters, Time: 44.7 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: Avenue Thalie, Instruction: Turn right onto Avenue Thalie, Distance: 205.1 meters, Time: 147.7 seconds
Name: Allée Georges Courteline, Instruction: Turn right onto Allée Georges Courteline, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 57.7 meters, Time: 41.6 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: Rue des Pommiers, Instruction: Turn left onto Rue des Pommiers, Distance: 555.8 meters, Time: 400.2 seconds
Name: Rue André Joineau, Instruction: Turn right onto Rue André Joineau, Distance: 33.7 meters, Time: 24.3 seconds
Name: Rue Jean-Baptiste Sémanaz, Instruction: Turn sharp left onto Rue Jean-Baptiste Sémanaz, Distance: 355.3 meters, Time: 255.8 seconds
Name: -, Instruction: Turn right, Distance: 139.9 meters, Time: 100.7 seconds
Name: -, Instruction: Turn left, Distance: 112.0 meters, Time: 80.7 seconds
Name: -, Instruction: Turn right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn slight left, Distance: 120.4 meters, Time: 86.7 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Keep left, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Keep left, Distance: 185.4 meters, Time: 133.5 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Sente des Dorées, Instruction: Turn right onto Sente des Dorées, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Arrive at Sente des Dorées, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
