Name: Gabriele-Münter-Weg, Instruction: Head northwest on Gabriele-Münter-Weg, Distance: 70.8 meters, Time: 51.0 seconds
Name: -, Instruction: Turn left, Distance: 268.1 meters, Time: 193.0 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Goethestraße, Instruction: Turn left onto Goethestraße, Distance: 487.1 meters, Time: 350.7 seconds
Name: Hermann-Löns-Straße, Instruction: Turn slight right onto Hermann-Löns-Straße, Distance: 55.7 meters, Time: 40.1 seconds
Name: Ricarda-Huch-Weg, Instruction: Turn left onto Ricarda-Huch-Weg, Distance: 56.3 meters, Time: 40.5 seconds
Name: Uhlandstraße, Instruction: Turn left onto Uhlandstraße, Distance: 54.9 meters, Time: 39.6 seconds
Name: Grillparzerstraße, Instruction: Turn right onto Grillparzerstraße, Distance: 191.5 meters, Time: 137.9 seconds
Name: Roseggerstraße, Instruction: Turn left onto Roseggerstraße, Distance: 15.5 meters, Time: 11.2 seconds
Name: Josef-Seliger-Straße, Instruction: Turn right onto Josef-Seliger-Straße, Distance: 48.4 meters, Time: 34.8 seconds
Name: Josef-Seliger-Straße, Instruction: Turn left onto Josef-Seliger-Straße, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 45.1 meters, Time: 32.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Keep right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn slight left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
