Name: Stella Road, Instruction: Head southwest on Stella Road, Distance: 413.0 meters, Time: 297.4 seconds
Name: Dawn Road, Instruction: Turn right onto Dawn Road, Distance: 130.7 meters, Time: 94.1 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: Montague Drive, Instruction: Turn left onto Montague Drive, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 156.6 meters, Time: 112.7 seconds
Name: -, Instruction: Turn right, Distance: 66.5 meters, Time: 47.9 seconds
Name: 2nd Road, Instruction: Turn left onto 2nd Road, Distance: 747.4 meters, Time: 538.1 seconds
Name: Marconi Road, Instruction: Turn left onto Marconi Road, Distance: 201.0 meters, Time: 144.7 seconds
Name: -, Instruction: Turn right, Distance: 113.1 meters, Time: 81.5 seconds
Name: Marconi Road, Instruction: Turn right onto Marconi Road, Distance: 44.4 meters, Time: 32.0 seconds
Name: Marconi Road, Instruction: Continue straight onto Marconi Road, Distance: 126.5 meters, Time: 91.1 seconds
Name: -, Instruction: Turn left, Distance: 50.2 meters, Time: 36.1 seconds
Name: -, Instruction: Turn left, Distance: 101.0 meters, Time: 72.7 seconds
Name: Montague Drive, Instruction: Turn left onto Montague Drive, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at Montague Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
