Name: Ellis Avenue, Instruction: Head southeast on Ellis Avenue, Distance: 70.5 meters, Time: 50.7 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Keep right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 629.6 meters, Time: 453.3 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Keep right, Distance: 108.7 meters, Time: 78.2 seconds
Name: -, Instruction: Continue straight, Distance: 203.7 meters, Time: 146.7 seconds
Name: -, Instruction: Keep left, Distance: 26.9 meters, Time: 19.3 seconds
Name: -, Instruction: Keep right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
