Name: Boulevard Ney, Instruction: Head west on Boulevard Ney, Distance: 67.1 meters, Time: 48.3 seconds
Name: Rue Angélique Compoint, Instruction: Turn left onto Rue Angélique Compoint, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 41.4 meters, Time: 29.8 seconds
Name: Rue Jean Dollfus, Instruction: Turn left onto Rue Jean Dollfus, Distance: 186.5 meters, Time: 134.2 seconds
Name: Rue Belliard, Instruction: Turn right onto Rue Belliard, Distance: 144.8 meters, Time: 104.2 seconds
Name: Rue Vauvenargues, Instruction: Turn left onto Rue Vauvenargues, Distance: 6.5 meters, Time: 4.7 seconds
Name: Rue Firmin Gemier, Instruction: Keep right onto Rue Firmin Gemier, Distance: 272.4 meters, Time: 196.1 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn slight left, Distance: 134.7 meters, Time: 97.0 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
