Name: Jerningham Road, Instruction: Head south on Jerningham Road, Distance: 461.8 meters, Time: 332.5 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight right, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: Kitto Road, Instruction: Turn right onto Kitto Road, Distance: 328.3 meters, Time: 236.3 seconds
Name: Kitto Road, Instruction: Turn slight left onto Kitto Road, Distance: 97.6 meters, Time: 70.2 seconds
Name: -, Instruction: Turn right, Distance: 68.0 meters, Time: 49.0 seconds
Name: Gibbon Road, Instruction: Turn left onto Gibbon Road, Distance: 3.1 meters, Time: 2.2 seconds
Name: Hollydale Road, Instruction: Turn right onto Hollydale Road, Distance: 197.0 meters, Time: 141.9 seconds
Name: Evelina Road, A2214, Instruction: Turn left onto Evelina Road, A2214, Distance: 330.3 meters, Time: 237.8 seconds
Name: Kirkwood Road, Instruction: Turn right onto Kirkwood Road, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 59.4 meters, Time: 42.8 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: Nunhead Green, Instruction: Turn left onto Nunhead Green, Distance: 82.3 meters, Time: 59.2 seconds
Name: Scylla Road, Instruction: Turn right onto Scylla Road, Distance: 29.2 meters, Time: 21.0 seconds
Name: Scylla Road, Instruction: Keep left onto Scylla Road, Distance: 248.1 meters, Time: 178.6 seconds
Name: Scylla Road, Instruction: Turn right onto Scylla Road, Distance: 14.4 meters, Time: 10.4 seconds
Name: Scylla Road, Instruction: Keep right onto Scylla Road, Distance: 35.1 meters, Time: 25.2 seconds
Name: Scylla Road, Instruction: Turn left onto Scylla Road, Distance: 66.7 meters, Time: 48.0 seconds
Name: Huguenot Square, Instruction: Turn right onto Huguenot Square, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn left, Distance: 32.7 meters, Time: 23.5 seconds
Name: Philip Walk, Instruction: Turn left onto Philip Walk, Distance: 70.2 meters, Time: 50.5 seconds
Name: -, Instruction: Arrive at Philip Walk, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
