Name: Rupert Gardens, Instruction: Head west on Rupert Gardens, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Continue straight, Distance: 226.0 meters, Time: 162.8 seconds
Name: Marcella Road, Instruction: Turn left onto Marcella Road, Distance: 5.2 meters, Time: 3.7 seconds
Name: Ferrey Mews, Instruction: Turn right onto Ferrey Mews, Distance: 73.5 meters, Time: 53.0 seconds
Name: Overton Road, Instruction: Turn right onto Overton Road, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 114.8 meters, Time: 82.7 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: Robsart Street, Instruction: Turn left onto Robsart Street, Distance: 134.1 meters, Time: 96.6 seconds
Name: Ingleborough Street, Instruction: Turn right onto Ingleborough Street, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 275.1 meters, Time: 198.1 seconds
Name: Stockwell Lane, Instruction: Turn right onto Stockwell Lane, Distance: 111.9 meters, Time: 80.5 seconds
Name: -, Instruction: Turn right, Distance: 120.6 meters, Time: 86.8 seconds
Name: Burnley Road, Instruction: Turn left onto Burnley Road, Distance: 8.0 meters, Time: 5.8 seconds
Name: Stockwell Road, A203, Instruction: Turn right onto Stockwell Road, A203, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn right, Distance: 118.0 meters, Time: 85.0 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn slight right, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn slight left, Distance: 54.6 meters, Time: 39.3 seconds
Name: Clapham Road, A3, Instruction: Turn left onto Clapham Road, A3, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: Paradise Road, Instruction: Continue straight onto Paradise Road, Distance: 148.5 meters, Time: 106.9 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn left, Distance: 94.6 meters, Time: 68.1 seconds
Name: Jeffrey's Road, Instruction: Turn right onto Jeffrey's Road, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 39.8 meters, Time: 28.6 seconds
Name: -, Instruction: Turn right, Distance: 70.4 meters, Time: 50.7 seconds
Name: Gaskell Street, Instruction: Turn right onto Gaskell Street, Distance: 39.6 meters, Time: 28.5 seconds
Name: Gaskell Street, Instruction: Turn left onto Gaskell Street, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
