Name: Vogelweideplatz, Instruction: Head north on Vogelweideplatz, Distance: 56.7 meters, Time: 40.8 seconds
Name: Prinzregentenstraße, Instruction: Turn right onto Prinzregentenstraße, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.7 seconds
Name: Prinzregentenstraße, Instruction: Turn right onto Prinzregentenstraße, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: Vogelweidestraße, Instruction: Turn left onto Vogelweidestraße, Distance: 73.1 meters, Time: 52.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Barbarossastraße, Instruction: Turn right onto Barbarossastraße, Distance: 6.8 meters, Time: 4.9 seconds
Name: Max-Zenger-Straße, Instruction: Turn left onto Max-Zenger-Straße, Distance: 186.2 meters, Time: 134.1 seconds
Name: Stuntzstraße, Instruction: Turn right onto Stuntzstraße, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 64.9 meters, Time: 46.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
