Name: Rue Georg Friedrich Haendel, Instruction: Head southeast on Rue Georg Friedrich Haendel, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 129.7 meters, Time: 93.4 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: Rue des Écluses Saint-Martin, Instruction: Turn left onto Rue des Écluses Saint-Martin, Distance: 24.6 meters, Time: 17.7 seconds
Name: Rue des Écluses Saint-Martin, Instruction: Keep right onto Rue des Écluses Saint-Martin, Distance: 160.1 meters, Time: 115.2 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: Rue de Sambre et Meuse, Instruction: Turn left onto Rue de Sambre et Meuse, Distance: 259.8 meters, Time: 187.0 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep right, Distance: 170.9 meters, Time: 123.0 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Keep right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight right, Distance: 125.9 meters, Time: 90.6 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight left, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn slight right, Distance: 537.4 meters, Time: 386.9 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn slight left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight right, Distance: 175.7 meters, Time: 126.5 seconds
Name: -, Instruction: Keep left, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Keep left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: Boulevard de Ménilmontant, Instruction: Turn right onto Boulevard de Ménilmontant, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at Boulevard de Ménilmontant, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
