Name: Ingolstädter Straße, Instruction: Head north on Ingolstädter Straße, Distance: 79.2 meters, Time: 57.0 seconds
Name: Wenzelstraße, Instruction: Turn right onto Wenzelstraße, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 81.4 meters, Time: 58.6 seconds
Name: Gablonzer Straße, Instruction: Turn right onto Gablonzer Straße, Distance: 59.5 meters, Time: 42.9 seconds
Name: -, Instruction: Turn left, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn slight right, Distance: 65.3 meters, Time: 47.0 seconds
Name: Wundtstraße, Instruction: Turn left onto Wundtstraße, Distance: 382.7 meters, Time: 275.6 seconds
Name: Paracelsusstraße, Instruction: Turn left onto Paracelsusstraße, Distance: 77.0 meters, Time: 55.5 seconds
Name: Heidemannstraße, Instruction: Turn right onto Heidemannstraße, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Heidemannstraße, Instruction: Turn right onto Heidemannstraße, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: Heidemannstraße, Instruction: Turn right onto Heidemannstraße, Distance: 221.2 meters, Time: 159.3 seconds
Name: -, Instruction: Turn left, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
