Name: Avenue du Maréchal Maunoury, Instruction: Head north on Avenue du Maréchal Maunoury, Distance: 3.1 meters, Time: 2.2 seconds
Name: Place de la Porte de Passy, Instruction: Turn right onto Place de la Porte de Passy, Distance: 104.1 meters, Time: 74.9 seconds
Name: -, Instruction: Turn slight left, Distance: 111.2 meters, Time: 80.0 seconds
Name: Allée Davia, Instruction: Turn slight left onto Allée Davia, Distance: 311.0 meters, Time: 223.9 seconds
Name: Allée Davia, Instruction: Keep left onto Allée Davia, Distance: 23.8 meters, Time: 17.1 seconds
Name: Allée Davia, Instruction: Turn right onto Allée Davia, Distance: 141.3 meters, Time: 101.7 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Turn slight right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 100.6 meters, Time: 72.4 seconds
Name: -, Instruction: Turn slight right, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 306.4 meters, Time: 220.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn right, Distance: 118.4 meters, Time: 85.3 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight right, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Turn slight right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep right, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Turn slight right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn slight left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 212.5 meters, Time: 153.0 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn slight right, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 184.6 meters, Time: 132.9 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 149.9 meters, Time: 107.9 seconds
Name: -, Instruction: Keep left, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
