Name: Hill Street, Instruction: Head north on Hill Street, Distance: 501.9 meters, Time: 361.4 seconds
Name: -, Instruction: Turn right, Distance: 50.9 meters, Time: 36.7 seconds
Name: Catherine Street, Instruction: Turn left onto Catherine Street, Distance: 50.8 meters, Time: 36.6 seconds
Name: Arthur Street, Instruction: Turn left onto Arthur Street, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 161.3 meters, Time: 116.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 225.1 meters, Time: 162.1 seconds
Name: -, Instruction: Turn right, Distance: 182.5 meters, Time: 131.4 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: Grey Street, Instruction: Turn right onto Grey Street, Distance: 321.9 meters, Time: 231.7 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
