Name: Impasse Chartière, Instruction: Head north on Impasse Chartière, Distance: 116.2 meters, Time: 83.7 seconds
Name: Rue de Lanneau, Instruction: Turn sharp right onto Rue de Lanneau, Distance: 75.4 meters, Time: 54.3 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Keep left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight right, Distance: 115.3 meters, Time: 83.0 seconds
Name: -, Instruction: Keep left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Keep right, Distance: 117.2 meters, Time: 84.4 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.4 seconds
Name: Rue Descartes, Instruction: Turn right onto Rue Descartes, Distance: 192.3 meters, Time: 138.5 seconds
Name: Rue Mouffetard, Instruction: Enter the roundabout and take the 2nd exit onto Rue Mouffetard, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 388.9 meters, Time: 280.0 seconds
Name: Square Vermenouze, Instruction: Turn sharp left onto Square Vermenouze, Distance: 6.1 meters, Time: 4.4 seconds
Name: Rue Mouffetard, Instruction: Turn sharp right onto Rue Mouffetard, Distance: 169.7 meters, Time: 122.2 seconds
Name: Rue de Bazeilles, Instruction: Enter the roundabout and take the 2nd exit onto Rue de Bazeilles, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: Place Claude Sautet, Instruction: Turn left onto Place Claude Sautet, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Keep left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 127.2 meters, Time: 91.6 seconds
Name: Avenue des Gobelins, Instruction: Turn right onto Avenue des Gobelins, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Continue straight, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn slight right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 81.6 meters, Time: 58.8 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Keep left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn slight right, Distance: 95.2 meters, Time: 68.5 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn slight right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Turn right, Distance: 75.6 meters, Time: 54.4 seconds
Name: -, Instruction: Turn left, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Keep right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 192.1 meters, Time: 138.3 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
