Name: Cité Joly, Instruction: Head southeast on Cité Joly, Distance: 129.3 meters, Time: 93.1 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Keep right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 257.3 meters, Time: 185.3 seconds
Name: -, Instruction: Turn right, Distance: 30.1 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight left, Distance: 43.4 meters, Time: 31.3 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Avenue Jean Aicard, Instruction: Turn left onto Avenue Jean Aicard, Distance: 421.9 meters, Time: 303.7 seconds
Name: Rue Jean-Pierre Timbaud, Instruction: Turn right onto Rue Jean-Pierre Timbaud, Distance: 413.7 meters, Time: 297.8 seconds
Name: Rue Vilin, Instruction: Keep left onto Rue Vilin, Distance: 5.4 meters, Time: 3.9 seconds
Name: Rue Vilin, Instruction: Keep left onto Rue Vilin, Distance: 3.0 meters, Time: 2.2 seconds
Name: Rue Vilin, Instruction: Continue straight onto Rue Vilin, Distance: 77.7 meters, Time: 56.0 seconds
Name: -, Instruction: Continue straight, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Continue straight, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn left, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
