Name: Richardson Street, Instruction: Head west on Richardson Street, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 148.2 meters, Time: 106.7 seconds
Name: -, Instruction: Turn slight right, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: Sackville Street, Instruction: Turn left onto Sackville Street, Distance: 760.1 meters, Time: 547.3 seconds
Name: Station Street, Instruction: Turn right onto Station Street, Distance: 136.2 meters, Time: 98.1 seconds
Name: Cunninghame Street, Instruction: Enter the roundabout and take the 1st exit onto Cunninghame Street, Distance: 333.5 meters, Time: 240.1 seconds
Name: Cunninghame Street, Instruction: Enter the roundabout and take the 2nd exit onto Cunninghame Street, Distance: 152.8 meters, Time: 110.0 seconds
Name: -, Instruction: Turn left, Distance: 126.1 meters, Time: 90.8 seconds
Name: -, Instruction: Turn right, Distance: 49.7 meters, Time: 35.8 seconds
Name: -, Instruction: Turn slight right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight left, Distance: 100.1 meters, Time: 72.1 seconds
Name: Anthony Street, Instruction: Turn right onto Anthony Street, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at Anthony Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
