Name: Simei Street 1, Instruction: Head northeast on Simei Street 1, Distance: 109.2 meters, Time: 78.7 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 122.0 meters, Time: 87.9 seconds
Name: -, Instruction: Turn left, Distance: 105.8 meters, Time: 76.2 seconds
Name: -, Instruction: Turn slight left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 45.6 meters, Time: 32.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 305.7 meters, Time: 220.1 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Turn left, Distance: 138.6 meters, Time: 99.8 seconds
Name: -, Instruction: Turn right, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Keep left, Distance: 75.3 meters, Time: 54.2 seconds
Name: Tampines Park Connector, Instruction: Turn slight left onto Tampines Park Connector, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at Tampines Park Connector, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
