Name: Rue Charles Hermite, Instruction: Head west on Rue Charles Hermite, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 77.3 meters, Time: 55.6 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn slight left, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn slight left, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Keep right, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn right, Distance: 304.6 meters, Time: 219.3 seconds
Name: Parvis Rosa Parks, Instruction: Turn right onto Parvis Rosa Parks, Distance: 28.4 meters, Time: 20.5 seconds
Name: Parvis Rosa Parks, Instruction: Turn slight right onto Parvis Rosa Parks, Distance: 30.4 meters, Time: 21.9 seconds
Name: Parvis Rosa Parks, Instruction: Continue straight onto Parvis Rosa Parks, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn slight left, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Keep left, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn slight right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
