Name: Nautilus Drive, Instruction: Head north on Nautilus Drive, Distance: 68.4 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 43.8 meters, Time: 31.5 seconds
Name: Gulf Harbour Marina Path, Instruction: Turn left onto Gulf Harbour Marina Path, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 404.7 meters, Time: 291.4 seconds
Name: -, Instruction: Turn slight right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 465.0 meters, Time: 334.8 seconds
Name: Hobbs Road, Instruction: Turn right onto Hobbs Road, Distance: 36.9 meters, Time: 26.5 seconds
Name: Roberts Road, Instruction: Turn left onto Roberts Road, Distance: 9.9 meters, Time: 7.1 seconds
Name: Roberts Road, Instruction: Turn right onto Roberts Road, Distance: 832.4 meters, Time: 599.3 seconds
Name: Balboa Drive, Instruction: Turn left onto Balboa Drive, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
