Name: Wilhelm-Hale-Straße, Instruction: Head west on Wilhelm-Hale-Straße, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn left, Distance: 245.1 meters, Time: 176.5 seconds
Name: -, Instruction: Keep left, Distance: 574.2 meters, Time: 413.5 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Keep left, Distance: 123.1 meters, Time: 88.6 seconds
Name: -, Instruction: Keep left, Distance: 1064.4 meters, Time: 766.3 seconds
Name: -, Instruction: Keep right, Distance: 282.1 meters, Time: 203.1 seconds
Name: -, Instruction: Turn left, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: Garmischer Straße, Instruction: Turn right onto Garmischer Straße, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Arrive at Garmischer Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
