Name: Barrington Avenue, Instruction: Head south on Barrington Avenue, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 74.5 meters, Time: 53.6 seconds
Name: -, Instruction: Keep left, Distance: 498.1 meters, Time: 358.7 seconds
Name: -, Instruction: Turn left, Distance: 484.2 meters, Time: 348.6 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 344.0 meters, Time: 247.7 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 237.1 meters, Time: 170.7 seconds
Name: -, Instruction: Turn right, Distance: 252.3 meters, Time: 181.6 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: Lee Avenue, Instruction: Turn left onto Lee Avenue, Distance: 172.9 meters, Time: 124.5 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 209.2 meters, Time: 150.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
