Name: Midson Road, Instruction: Head southeast on Midson Road, Distance: 132.8 meters, Time: 95.6 seconds
Name: Wyralla Avenue, Instruction: Turn right onto Wyralla Avenue, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn slight right, Distance: 530.5 meters, Time: 381.9 seconds
Name: -, Instruction: Turn right, Distance: 210.1 meters, Time: 151.3 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn left, Distance: 23.0 meters, Time: 16.5 seconds
Name: Carrington Crescent, Instruction: Turn right onto Carrington Crescent, Distance: 4.0 meters, Time: 2.9 seconds
Name: Kings Walk, Instruction: Turn left onto Kings Walk, Distance: 75.9 meters, Time: 54.7 seconds
Name: Avondale Way, Instruction: Turn left onto Avondale Way, Distance: 69.5 meters, Time: 50.1 seconds
Name: -, Instruction: Arrive at Avondale Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
