Name: Rue des Réservoirs, Instruction: Head west on Rue des Réservoirs, Distance: 109.5 meters, Time: 78.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Keep left, Distance: 115.1 meters, Time: 82.9 seconds
Name: Avenue des Canadiens, Instruction: Turn right onto Avenue des Canadiens, Distance: 16.7 meters, Time: 12.0 seconds
Name: Route de la Pyramide, Instruction: Continue straight onto Route de la Pyramide, Distance: 228.7 meters, Time: 164.7 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 377.5 meters, Time: 271.8 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: Route de la Pyramide, Instruction: Continue straight onto Route de la Pyramide, Distance: 47.2 meters, Time: 34.0 seconds
Name: Route de la Pyramide, Instruction: Keep left onto Route de la Pyramide, Distance: 377.2 meters, Time: 271.6 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
