Name: Bartil Close, Instruction: Head northwest on Bartil Close, Distance: 107.4 meters, Time: 77.4 seconds
Name: -, Instruction: Turn left, Distance: 102.7 meters, Time: 74.0 seconds
Name: -, Instruction: Turn left, Distance: 40.2 meters, Time: 29.0 seconds
Name: -, Instruction: Continue straight, Distance: 538.4 meters, Time: 387.6 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Continue straight, Distance: 485.7 meters, Time: 349.7 seconds
Name: -, Instruction: Turn right, Distance: 251.2 meters, Time: 180.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.7 seconds
Name: Shipway Street, Instruction: Turn slight left onto Shipway Street, Distance: 138.7 meters, Time: 99.9 seconds
Name: Waterloo Road, Instruction: Turn right onto Waterloo Road, Distance: 92.3 meters, Time: 66.5 seconds
Name: Vimiera Road, Instruction: Enter the roundabout and take the 1st exit onto Vimiera Road, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Continue straight, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn slight left, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Turn right, Distance: 62.4 meters, Time: 44.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
