Name: Schrämelstraße, Instruction: Head east on Schrämelstraße, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn right, Distance: 763.9 meters, Time: 550.0 seconds
Name: August-Exter-Straße, Instruction: Turn right onto August-Exter-Straße, Distance: 260.7 meters, Time: 187.7 seconds
Name: Carossastraße, Instruction: Turn left onto Carossastraße, Distance: 106.1 meters, Time: 76.4 seconds
Name: Gottfried-Keller-Straße, Instruction: Turn right onto Gottfried-Keller-Straße, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 89.6 meters, Time: 64.5 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
