Name: Hawke Place, Instruction: Head south on Hawke Place, Distance: 84.8 meters, Time: 61.0 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 677.9 meters, Time: 488.1 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 190.9 meters, Time: 137.4 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Valley Road, Instruction: Turn right onto Valley Road, Distance: 56.0 meters, Time: 40.3 seconds
Name: Grace James Road, Instruction: Turn left onto Grace James Road, Distance: 155.6 meters, Time: 112.0 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 234.1 meters, Time: 168.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
