Name: Central Avenue, Instruction: Head east on Central Avenue, Distance: 337.4 meters, Time: 242.9 seconds
Name: Belgravia Road, Instruction: Turn right onto Belgravia Road, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 88.9 meters, Time: 64.0 seconds
Name: Arlington Road, Instruction: Turn right onto Arlington Road, Distance: 14.8 meters, Time: 10.7 seconds
Name: Quartz Street, Instruction: Turn left onto Quartz Street, Distance: 259.6 meters, Time: 186.9 seconds
Name: Calcite Road, Instruction: Turn left onto Calcite Road, Distance: 37.9 meters, Time: 27.3 seconds
Name: Arlington Road, Instruction: Turn slight right onto Arlington Road, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 94.8 meters, Time: 68.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 144.4 meters, Time: 104.0 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn left, Distance: 114.6 meters, Time: 82.5 seconds
Name: Lynath Walk, Instruction: Turn slight right onto Lynath Walk, Distance: 99.3 meters, Time: 71.5 seconds
Name: Athsur Walk, Instruction: Continue straight onto Athsur Walk, Distance: 163.5 meters, Time: 117.7 seconds
Name: Blomvlei Road, Instruction: Turn left onto Blomvlei Road, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 44.4 meters, Time: 31.9 seconds
Name: Blomvlei Road, Instruction: Turn left onto Blomvlei Road, Distance: 15.6 meters, Time: 11.2 seconds
Name: Summit Road, Instruction: Turn right onto Summit Road, Distance: 161.9 meters, Time: 116.6 seconds
Name: Athwood Road, Instruction: Turn left onto Athwood Road, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn right, Distance: 346.3 meters, Time: 249.4 seconds
Name: Columbine Place, Instruction: Turn left onto Columbine Place, Distance: 34.5 meters, Time: 24.8 seconds
Name: Columbine Place, Instruction: Turn right onto Columbine Place, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 132.8 meters, Time: 95.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
