Name: Brunhamstraße, Instruction: Head north on Brunhamstraße, Distance: 108.2 meters, Time: 77.9 seconds
Name: -, Instruction: Turn left, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 106.7 meters, Time: 76.9 seconds
Name: -, Instruction: Turn slight right, Distance: 20.7 meters, Time: 14.9 seconds
Name: Papinstraße, Instruction: Turn left onto Papinstraße, Distance: 34.4 meters, Time: 24.7 seconds
Name: Papinstraße, Instruction: Turn slight left onto Papinstraße, Distance: 24.6 meters, Time: 17.7 seconds
Name: Fritz-Bauer-Straße, Instruction: Continue straight onto Fritz-Bauer-Straße, Distance: 133.9 meters, Time: 96.4 seconds
Name: Mathilde-Berghofer-Weichner-Straße, Instruction: Keep right onto Mathilde-Berghofer-Weichner-Straße, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Turn left, Distance: 95.0 meters, Time: 68.4 seconds
Name: Fritz-Bauer-Straße, Instruction: Turn right onto Fritz-Bauer-Straße, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Keep left, Distance: 50.5 meters, Time: 36.4 seconds
Name: -, Instruction: Continue straight, Distance: 202.5 meters, Time: 145.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
