Name: Bentinck Drive, Instruction: Head west on Bentinck Drive, Distance: 89.8 meters, Time: 64.7 seconds
Name: Crocodile Drive, Instruction: Turn left onto Crocodile Drive, Distance: 127.8 meters, Time: 92.0 seconds
Name: -, Instruction: Turn right, Distance: 244.2 meters, Time: 175.8 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 447.2 meters, Time: 322.0 seconds
Name: -, Instruction: Turn left, Distance: 219.5 meters, Time: 158.0 seconds
Name: Bickerton Avenue, Instruction: Turn right onto Bickerton Avenue, Distance: 45.3 meters, Time: 32.6 seconds
Name: Cape Baron Avenue, Instruction: Turn left onto Cape Baron Avenue, Distance: 130.9 meters, Time: 94.2 seconds
Name: -, Instruction: Arrive at Cape Baron Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
