Name: Calzada Vallejo, EJE 1 PTE, Instruction: Head northwest on Calzada Vallejo, EJE 1 PTE, Distance: 43.1 meters, Time: 31.1 seconds
Name: Avenida 3-A, Instruction: Turn right onto Avenida 3-A, Distance: 28.3 meters, Time: 20.4 seconds
Name: Calle Rojo Gómez, Instruction: Turn slight left onto Calle Rojo Gómez, Distance: 819.0 meters, Time: 589.7 seconds
Name: Segunda Cerrada Emiliano Zapata, Instruction: Turn left onto Segunda Cerrada Emiliano Zapata, Distance: 68.9 meters, Time: 49.6 seconds
Name: Calle Emiliano Zapata, Instruction: Turn sharp right onto Calle Emiliano Zapata, Distance: 284.6 meters, Time: 204.9 seconds
Name: Avenida Ventisca, Instruction: Keep left onto Avenida Ventisca, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: Avenida Ventisca, Instruction: Turn right onto Avenida Ventisca, Distance: 152.4 meters, Time: 109.7 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: Avenida Ventisca, Instruction: Turn left onto Avenida Ventisca, Distance: 90.1 meters, Time: 64.9 seconds
Name: Calle Llovizna, Instruction: Turn right onto Calle Llovizna, Distance: 62.7 meters, Time: 45.1 seconds
Name: Calle Llovizna, Instruction: Keep right onto Calle Llovizna, Distance: 11.9 meters, Time: 8.5 seconds
Name: Calle Llovizna, Instruction: Turn slight left onto Calle Llovizna, Distance: 677.9 meters, Time: 488.1 seconds
Name: 19 del Temoluco, Instruction: Turn right onto 19 del Temoluco, Distance: 69.8 meters, Time: 50.3 seconds
Name: Boulevard del Temoluco, Instruction: Turn right onto Boulevard del Temoluco, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep left, Distance: 65.0 meters, Time: 46.8 seconds
Name: Boulevard del Temoluco, Instruction: Turn slight left onto Boulevard del Temoluco, Distance: 84.3 meters, Time: 60.7 seconds
Name: Calle de la Escollera, Instruction: Turn right onto Calle de la Escollera, Distance: 266.8 meters, Time: 192.1 seconds
Name: -, Instruction: Arrive at Calle de la Escollera, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
