Name: Hans-Stießberger-Straße, Instruction: Head northwest on Hans-Stießberger-Straße, Distance: 91.3 meters, Time: 65.7 seconds
Name: Hans-Pinsel-Straße, Instruction: Turn right onto Hans-Pinsel-Straße, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn left, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 386.1 meters, Time: 278.0 seconds
Name: Keferloher Straße, Instruction: Turn right onto Keferloher Straße, Distance: 208.9 meters, Time: 150.4 seconds
Name: -, Instruction: Turn left, Distance: 564.7 meters, Time: 406.6 seconds
Name: Lorenz-Huber-Straße, Instruction: Turn slight left onto Lorenz-Huber-Straße, Distance: 213.1 meters, Time: 153.5 seconds
Name: Peter-Wolfram-Straße, Instruction: Turn left onto Peter-Wolfram-Straße, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 118.1 meters, Time: 85.1 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: Peter-Wolfram-Straße, Instruction: Turn left onto Peter-Wolfram-Straße, Distance: 49.9 meters, Time: 36.0 seconds
Name: -, Instruction: Turn right, Distance: 150.4 meters, Time: 108.3 seconds
Name: -, Instruction: Turn right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
