Name: Fröttmaninger Straße, Instruction: Head north on Fröttmaninger Straße, Distance: 194.3 meters, Time: 139.9 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.3 seconds
Name: Walter-Gropius-Straße, Instruction: Turn right onto Walter-Gropius-Straße, Distance: 10.8 meters, Time: 7.8 seconds
Name: Hannes-Meyer-Straße, Instruction: Turn left onto Hannes-Meyer-Straße, Distance: 80.9 meters, Time: 58.3 seconds
Name: Oskar-Schlemmer-Straße, Instruction: Turn left onto Oskar-Schlemmer-Straße, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Continue straight, Distance: 46.6 meters, Time: 33.5 seconds
Name: Lyonel-Feininger-Straße, Instruction: Turn right onto Lyonel-Feininger-Straße, Distance: 5.4 meters, Time: 3.9 seconds
Name: Gunta-Stölzl-Straße, Instruction: Turn left onto Gunta-Stölzl-Straße, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Arrive at Gunta-Stölzl-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
