Name: Blouzicht, Instruction: Head west on Blouzicht, Distance: 78.4 meters, Time: 56.5 seconds
Name: Willow Road, Instruction: Turn right onto Willow Road, Distance: 95.9 meters, Time: 69.1 seconds
Name: Viola Road, Instruction: Turn left onto Viola Road, Distance: 145.4 meters, Time: 104.7 seconds
Name: Centlivres Crescent, Instruction: Turn right onto Centlivres Crescent, Distance: 325.1 meters, Time: 234.1 seconds
Name: -, Instruction: Turn right, Distance: 493.4 meters, Time: 355.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 275.7 meters, Time: 198.5 seconds
Name: Warwick Road, Instruction: Turn right onto Warwick Road, Distance: 265.7 meters, Time: 191.3 seconds
Name: Warwick Road, Instruction: Keep right onto Warwick Road, Distance: 7.2 meters, Time: 5.2 seconds
Name: Sandown Road, Instruction: Enter the roundabout and take the 1st exit onto Sandown Road, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 231.2 meters, Time: 166.4 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Keep right, Distance: 166.6 meters, Time: 119.9 seconds
Name: -, Instruction: Turn right, Distance: 30.5 meters, Time: 22.0 seconds
Name: -, Instruction: Keep left, Distance: 174.6 meters, Time: 125.7 seconds
Name: Sail Street, Instruction: Turn left onto Sail Street, Distance: 216.8 meters, Time: 156.1 seconds
Name: -, Instruction: Arrive at Sail Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
