Name: Ländstraße, Instruction: Head northwest on Ländstraße, Distance: 101.3 meters, Time: 72.9 seconds
Name: Liebherrstraße, Instruction: Turn slight right onto Liebherrstraße, Distance: 18.6 meters, Time: 13.4 seconds
Name: Thierschstraße, Instruction: Turn left onto Thierschstraße, Distance: 15.4 meters, Time: 11.1 seconds
Name: Liebherrstraße, Instruction: Turn right onto Liebherrstraße, Distance: 111.0 meters, Time: 79.9 seconds
Name: Kanalstraße, Instruction: Turn right onto Kanalstraße, Distance: 24.7 meters, Time: 17.8 seconds
Name: Kanalstraße, Instruction: Turn left onto Kanalstraße, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Turn right, Distance: 169.1 meters, Time: 121.7 seconds
Name: -, Instruction: Turn left, Distance: 490.6 meters, Time: 353.2 seconds
Name: -, Instruction: Turn slight right, Distance: 320.1 meters, Time: 230.5 seconds
Name: Von-der-Tann-Straße, Instruction: Turn left onto Von-der-Tann-Straße, Distance: 77.4 meters, Time: 55.7 seconds
Name: Freiherr-von-Pechmann-Weg, Instruction: Keep right onto Freiherr-von-Pechmann-Weg, Distance: 263.3 meters, Time: 189.6 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
