Name: Ballyliffin Drive, Instruction: Head southwest on Ballyliffin Drive, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Turn slight right, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 7.3 meters, Time: 5.3 seconds
Name: Drumbuoy Drive, Instruction: Turn left onto Drumbuoy Drive, Distance: 57.8 meters, Time: 41.6 seconds
Name: Corveen Road, Instruction: Turn right onto Corveen Road, Distance: 41.9 meters, Time: 30.2 seconds
Name: Corveen Road, Instruction: Turn right onto Corveen Road, Distance: 65.8 meters, Time: 47.4 seconds
Name: Cloonlyon Drive, Instruction: Turn left onto Cloonlyon Drive, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 47.6 meters, Time: 34.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 202.1 meters, Time: 145.5 seconds
Name: -, Instruction: Keep right, Distance: 300.5 meters, Time: 216.4 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: Dapple Place, Instruction: Turn right onto Dapple Place, Distance: 7.1 meters, Time: 5.1 seconds
Name: Aspiring Avenue, Instruction: Turn left onto Aspiring Avenue, Distance: 428.1 meters, Time: 308.2 seconds
Name: Aspiring Avenue, Instruction: Turn left onto Aspiring Avenue, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.6 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: Aspiring Avenue, Instruction: Turn right onto Aspiring Avenue, Distance: 271.4 meters, Time: 195.4 seconds
Name: Rakaia Rise, Instruction: Turn left onto Rakaia Rise, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
