Name: Cavendish Road, Instruction: Head northwest on Cavendish Road, Distance: 70.7 meters, Time: 50.9 seconds
Name: Norfolk Road, Instruction: Turn right onto Norfolk Road, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 65.8 meters, Time: 47.4 seconds
Name: -, Instruction: Turn left, Distance: 225.4 meters, Time: 162.3 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Marlborough Road, Instruction: Turn left onto Marlborough Road, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Turn slight right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 92.2 meters, Time: 66.4 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Walpole Road, Instruction: Turn left onto Walpole Road, Distance: 4.4 meters, Time: 3.2 seconds
Name: Denison Road, Instruction: Turn right onto Denison Road, Distance: 76.2 meters, Time: 54.8 seconds
Name: Briscoe Road, Instruction: Turn left onto Briscoe Road, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Boundary Road, Instruction: Turn right onto Boundary Road, Distance: 137.6 meters, Time: 99.0 seconds
Name: -, Instruction: Arrive at Boundary Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
