Name: Wellness Way, Instruction: Head west on Wellness Way, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 465.5 meters, Time: 335.2 seconds
Name: -, Instruction: Keep right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Keep right, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Keep right, Distance: 253.2 meters, Time: 182.3 seconds
Name: -, Instruction: Turn left, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: Broadway Avenue, Instruction: Turn left onto Broadway Avenue, Distance: 17.4 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 321.5 meters, Time: 231.5 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep right, Distance: 96.5 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
