Name: Thames Avenue, Instruction: Head east on Thames Avenue, Distance: 284.8 meters, Time: 205.0 seconds
Name: Sonderend Road, Instruction: Turn left onto Sonderend Road, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 257.4 meters, Time: 185.3 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Keep left, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn slight left, Distance: 120.7 meters, Time: 86.9 seconds
Name: Silverstream Road, Instruction: Turn left onto Silverstream Road, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 238.2 meters, Time: 171.5 seconds
Name: Silverstream Road, Instruction: Turn left onto Silverstream Road, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 172.3 meters, Time: 124.1 seconds
Name: -, Instruction: Turn left, Distance: 162.7 meters, Time: 117.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 56.0 meters, Time: 40.3 seconds
Name: Ngambu Street, Instruction: Turn left onto Ngambu Street, Distance: 168.1 meters, Time: 121.0 seconds
Name: -, Instruction: Turn left, Distance: 48.7 meters, Time: 35.1 seconds
Name: -, Instruction: Continue straight, Distance: 16.4 meters, Time: 11.8 seconds
Name: Ngambu Street, Instruction: Turn left onto Ngambu Street, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Turn right, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 182.3 meters, Time: 131.3 seconds
Name: -, Instruction: Keep left, Distance: 30.2 meters, Time: 21.8 seconds
Name: Gladstone Nqulwana Street, Instruction: Turn left onto Gladstone Nqulwana Street, Distance: 48.9 meters, Time: 35.2 seconds
Name: Khayalethu, Instruction: Turn right onto Khayalethu, Distance: 83.6 meters, Time: 60.2 seconds
Name: Steve Biko Drive, M47, Instruction: Turn left onto Steve Biko Drive, M47, Distance: 151.3 meters, Time: 109.0 seconds
Name: -, Instruction: Arrive at Steve Biko Drive, M47, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
