Name: Quai Louis Blériot, Instruction: Head northeast on Quai Louis Blériot, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 117.5 meters, Time: 84.6 seconds
Name: -, Instruction: Turn right, Distance: 221.9 meters, Time: 159.8 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn right, Distance: 365.6 meters, Time: 263.2 seconds
Name: -, Instruction: Turn slight right, Distance: 273.1 meters, Time: 196.6 seconds
Name: -, Instruction: Turn left, Distance: 48.0 meters, Time: 34.5 seconds
Name: -, Instruction: Turn slight right, Distance: 419.3 meters, Time: 301.9 seconds
Name: -, Instruction: Turn slight right, Distance: 44.7 meters, Time: 32.1 seconds
Name: Boulevard Victor, Instruction: Turn right onto Boulevard Victor, Distance: 214.5 meters, Time: 154.4 seconds
Name: -, Instruction: Turn left, Distance: 161.6 meters, Time: 116.4 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
