Name: Leibregimentsweg, Instruction: Head south on Leibregimentsweg, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 110.1 meters, Time: 79.3 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn slight right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 43.1 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 73.1 meters, Time: 52.7 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: Odeonsplatz, Instruction: Keep right onto Odeonsplatz, Distance: 47.0 meters, Time: 33.8 seconds
Name: Theatinerstraße, Instruction: Turn sharp left onto Theatinerstraße, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 204.8 meters, Time: 147.4 seconds
Name: -, Instruction: Turn left, Distance: 77.5 meters, Time: 55.8 seconds
Name: Brienner Straße, Instruction: Turn slight right onto Brienner Straße, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Keep right, Distance: 394.4 meters, Time: 283.9 seconds
Name: -, Instruction: Keep left, Distance: 10.7 meters, Time: 7.7 seconds
Name: Karolinenplatz, Instruction: Turn right onto Karolinenplatz, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 145.5 meters, Time: 104.7 seconds
Name: -, Instruction: Continue straight, Distance: 394.1 meters, Time: 283.8 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
