Name: Rue Hoche, Instruction: Head north on Rue Hoche, Distance: 0.5 meters, Time: 0.4 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn slight right, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: Rue du Congo, Instruction: Turn right onto Rue du Congo, Distance: 277.0 meters, Time: 199.5 seconds
Name: -, Instruction: Keep left, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 296.5 meters, Time: 213.5 seconds
Name: -, Instruction: Turn right, Distance: 127.3 meters, Time: 91.7 seconds
Name: -, Instruction: Turn left, Distance: 49.0 meters, Time: 35.3 seconds
Name: Place de la Porte de Pantin, Instruction: Turn left onto Place de la Porte de Pantin, Distance: 20.9 meters, Time: 15.0 seconds
Name: Boulevard Sérurier, Instruction: Continue straight onto Boulevard Sérurier, Distance: 108.7 meters, Time: 78.3 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Keep left, Distance: 198.9 meters, Time: 143.2 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Sente des Dorées, Instruction: Turn left onto Sente des Dorées, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Arrive at Sente des Dorées, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
