Name: McMurray Avenue, Instruction: Head south on McMurray Avenue, Distance: 152.2 meters, Time: 109.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 73.4 meters, Time: 52.9 seconds
Name: -, Instruction: Keep left, Distance: 6.1 meters, Time: 4.4 seconds
Name: Quebec Avenue, Instruction: Turn sharp left onto Quebec Avenue, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 284.3 meters, Time: 204.7 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn slight left, Distance: 195.3 meters, Time: 140.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
