Name: Netil Lane, Instruction: Head north on Netil Lane, Distance: 55.3 meters, Time: 39.8 seconds
Name: Westgate Street, Instruction: Turn right onto Westgate Street, Distance: 388.1 meters, Time: 279.4 seconds
Name: Clermont Road, Instruction: Turn right onto Clermont Road, Distance: 184.8 meters, Time: 133.0 seconds
Name: Gore Road, Instruction: Turn right onto Gore Road, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Continue straight, Distance: 68.4 meters, Time: 49.2 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Turn left, Distance: 105.1 meters, Time: 75.6 seconds
Name: Night Walk, Instruction: Turn right onto Night Walk, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 21.8 meters, Time: 15.7 seconds
Name: St. James's Avenue, Instruction: Turn right onto St. James's Avenue, Distance: 213.4 meters, Time: 153.7 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: Old Ford Road, B118, Instruction: Turn right onto Old Ford Road, B118, Distance: 14.0 meters, Time: 10.1 seconds
Name: Bonner Street, Instruction: Turn left onto Bonner Street, Distance: 226.0 meters, Time: 162.7 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn slight right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Morpeth Street, Instruction: Turn left onto Morpeth Street, Distance: 267.7 meters, Time: 192.8 seconds
Name: -, Instruction: Turn slight right, Distance: 44.2 meters, Time: 31.8 seconds
Name: Bancroft Road, Instruction: Turn left onto Bancroft Road, Distance: 225.9 meters, Time: 162.6 seconds
Name: -, Instruction: Arrive at Bancroft Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
