Name: Bartle Avenue, Instruction: Head southeast on Bartle Avenue, Distance: 80.9 meters, Time: 58.2 seconds
Name: Cathedral Avenue, Instruction: Turn left onto Cathedral Avenue, Distance: 128.1 meters, Time: 92.3 seconds
Name: -, Instruction: Turn right, Distance: 332.6 meters, Time: 239.5 seconds
Name: Tamborine Drive, Instruction: Turn left onto Tamborine Drive, Distance: 4.9 meters, Time: 3.5 seconds
Name: Elizabeth McRae Avenue, Instruction: Enter the roundabout and take the 1st exit onto Elizabeth McRae Avenue, Distance: 250.9 meters, Time: 180.6 seconds
Name: Pendergast Avenue, Instruction: Enter the roundabout and take the 1st exit onto Pendergast Avenue, Distance: 69.6 meters, Time: 50.1 seconds
Name: Werong Close, Instruction: Turn right onto Werong Close, Distance: 99.8 meters, Time: 71.9 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 86.2 meters, Time: 62.0 seconds
Name: -, Instruction: Turn right, Distance: 113.8 meters, Time: 82.0 seconds
Name: Jersey Parade, Instruction: Turn left onto Jersey Parade, Distance: 8.4 meters, Time: 6.0 seconds
Name: Eagleview Road, Instruction: Turn right onto Eagleview Road, Distance: 180.2 meters, Time: 129.8 seconds
Name: -, Instruction: Turn left, Distance: 192.5 meters, Time: 138.6 seconds
Name: Goodsell Street, Instruction: Turn left onto Goodsell Street, Distance: 263.0 meters, Time: 189.4 seconds
Name: -, Instruction: Turn left, Distance: 47.0 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
