Name: Maea Lane, Instruction: Head southeast on Maea Lane, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 407.8 meters, Time: 293.6 seconds
Name: Ongaonga Lane, Instruction: Turn right onto Ongaonga Lane, Distance: 7.1 meters, Time: 5.1 seconds
Name: Freeland Avenue, Instruction: Turn left onto Freeland Avenue, Distance: 9.5 meters, Time: 6.9 seconds
Name: Playfair Road, Instruction: Turn right onto Playfair Road, Distance: 219.5 meters, Time: 158.0 seconds
Name: Kaiwhiria Lane, Instruction: Turn left onto Kaiwhiria Lane, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 128.5 meters, Time: 92.5 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 63.3 meters, Time: 45.5 seconds
Name: -, Instruction: Keep left, Distance: 300.4 meters, Time: 216.3 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 704.2 meters, Time: 507.0 seconds
Name: -, Instruction: Keep right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
