Name: Prescott Circuit, Instruction: Head northwest on Prescott Circuit, Distance: 79.4 meters, Time: 57.2 seconds
Name: Kennington Avenue, Instruction: Turn left onto Kennington Avenue, Distance: 389.2 meters, Time: 280.2 seconds
Name: Torrance Crescent, Instruction: Turn left onto Torrance Crescent, Distance: 77.4 meters, Time: 55.8 seconds
Name: Milburn Street, Instruction: Turn right onto Milburn Street, Distance: 281.4 meters, Time: 202.6 seconds
Name: Torrance Crescent, Instruction: Turn left onto Torrance Crescent, Distance: 58.1 meters, Time: 41.9 seconds
Name: -, Instruction: Turn right, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: Car Wash, Instruction: Turn left onto Car Wash, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 64.3 meters, Time: 46.3 seconds
Name: Lalor Road, Instruction: Turn right onto Lalor Road, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 82.4 meters, Time: 59.4 seconds
Name: Lalor Road, Instruction: Turn left onto Lalor Road, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 283.5 meters, Time: 204.1 seconds
Name: -, Instruction: Turn left, Distance: 110.4 meters, Time: 79.5 seconds
Name: Ramona Street, Instruction: Turn right onto Ramona Street, Distance: 142.7 meters, Time: 102.8 seconds
Name: -, Instruction: Arrive at Ramona Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
