Name: Kingussie Avenue, Instruction: Head northwest on Kingussie Avenue, Distance: 751.4 meters, Time: 541.0 seconds
Name: -, Instruction: Turn left, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn right, Distance: 507.6 meters, Time: 365.5 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: Gilbert Road, Instruction: Turn right onto Gilbert Road, Distance: 10.2 meters, Time: 7.3 seconds
Name: Ridgecrop Drive, Instruction: Enter the roundabout and take the 1st exit onto Ridgecrop Drive, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 139.8 meters, Time: 100.7 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: Ridgecrop Drive, Instruction: Turn left onto Ridgecrop Drive, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Arrive at Ridgecrop Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
