Name: Nanyang Drive, Instruction: Head south on Nanyang Drive, Distance: 22.3 meters, Time: 16.0 seconds
Name: Lien Ying Chow Drive, Instruction: Enter the roundabout and take the 3rd exit onto Lien Ying Chow Drive, Distance: 250.9 meters, Time: 180.7 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 215.3 meters, Time: 155.0 seconds
Name: -, Instruction: Keep left, Distance: 107.1 meters, Time: 77.1 seconds
Name: -, Instruction: Turn left, Distance: 209.8 meters, Time: 151.1 seconds
Name: -, Instruction: Keep right, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 270.8 meters, Time: 195.0 seconds
Name: -, Instruction: Keep left, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 178.9 meters, Time: 128.8 seconds
Name: -, Instruction: Keep left, Distance: 30.5 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 109.1 meters, Time: 78.5 seconds
Name: -, Instruction: Turn slight left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight right, Distance: 199.4 meters, Time: 143.5 seconds
Name: -, Instruction: Turn right, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn left, Distance: 129.1 meters, Time: 92.9 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: Jurong West Street 93, Instruction: Turn left onto Jurong West Street 93, Distance: 80.8 meters, Time: 58.2 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
