Name: Bassein Road, Instruction: Head northwest on Bassein Road, Distance: 159.4 meters, Time: 114.8 seconds
Name: Jalan Tan Tock Seng, Instruction: Keep right onto Jalan Tan Tock Seng, Distance: 218.8 meters, Time: 157.6 seconds
Name: -, Instruction: Turn right, Distance: 81.7 meters, Time: 58.8 seconds
Name: -, Instruction: Turn left, Distance: 79.8 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Turn left, Distance: 145.6 meters, Time: 104.9 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn left, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn left, Distance: 119.2 meters, Time: 85.8 seconds
Name: Essex Road, Instruction: Turn right onto Essex Road, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Turn left, Distance: 251.0 meters, Time: 180.7 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: Norfolk Road, Instruction: Turn right onto Norfolk Road, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
