Name: Eichelhäherstraße, Instruction: Head southeast on Eichelhäherstraße, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 422.7 meters, Time: 304.3 seconds
Name: -, Instruction: Turn slight right, Distance: 3.5 meters, Time: 2.5 seconds
Name: Erlbachstraße, Instruction: Turn left onto Erlbachstraße, Distance: 200.0 meters, Time: 144.0 seconds
Name: Sandbergstraße, Instruction: Turn right onto Sandbergstraße, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 347.8 meters, Time: 250.4 seconds
Name: Rohrdommelweg, Instruction: Continue straight onto Rohrdommelweg, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
