Name: King James Street, Instruction: Head northeast on King James Street, Distance: 32.6 meters, Time: 23.4 seconds
Name: Belvedere Buildings, Instruction: Turn right onto Belvedere Buildings, Distance: 64.2 meters, Time: 46.2 seconds
Name: Southwark Bridge Road, A300, Instruction: Turn right onto Southwark Bridge Road, A300, Distance: 95.2 meters, Time: 68.6 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Newington Court, Instruction: Turn right onto Newington Court, Distance: 147.5 meters, Time: 106.2 seconds
Name: -, Instruction: Turn right, Distance: 53.5 meters, Time: 38.5 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 95.8 meters, Time: 69.0 seconds
Name: Rockingham Street, Instruction: Turn left onto Rockingham Street, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Turn right, Distance: 122.3 meters, Time: 88.1 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Continue straight, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: New Kent Road, Instruction: Turn left onto New Kent Road, Distance: 3.3 meters, Time: 2.4 seconds
Name: New Kent Road, Instruction: Keep right onto New Kent Road, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn right, Distance: 93.7 meters, Time: 67.5 seconds
Name: Ash Avenue, Instruction: Turn left onto Ash Avenue, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Keep right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Keep right, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Keep right, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
