Name: East 21st Avenue, Instruction: Head west on East 21st Avenue, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 70.3 meters, Time: 50.6 seconds
Name: -, Instruction: Keep left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn slight left, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn right, Distance: 210.1 meters, Time: 151.2 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 233.5 meters, Time: 168.1 seconds
Name: -, Instruction: Turn left, Distance: 111.8 meters, Time: 80.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Keep left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 35.9 meters, Time: 25.8 seconds
Name: -, Instruction: Keep right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 43.8 meters, Time: 31.5 seconds
Name: Ogden Street, Instruction: Turn left onto Ogden Street, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Arrive at Ogden Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
