Name: 豊中通り, Instruction: Head west on 豊中通り, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 328.4 meters, Time: 236.5 seconds
Name: -, Instruction: Turn left, Distance: 79.9 meters, Time: 57.5 seconds
Name: -, Instruction: Turn right, Distance: 674.0 meters, Time: 485.2 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn right, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 61.3 meters, Time: 44.2 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 90.9 meters, Time: 65.5 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 165.2 meters, Time: 118.9 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 90.6 meters, Time: 65.2 seconds
Name: みつわ通り, Instruction: Turn left onto みつわ通り, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 122.9 meters, Time: 88.5 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 50.5 meters, Time: 36.4 seconds
Name: -, Instruction: Turn right, Distance: 66.3 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 71.2 meters, Time: 51.2 seconds
Name: -, Instruction: Turn left, Distance: 275.1 meters, Time: 198.1 seconds
Name: -, Instruction: Turn right, Distance: 149.3 meters, Time: 107.5 seconds
Name: -, Instruction: Continue straight, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
