Name: Avenida Carlos Zara, Instruction: Head east on Avenida Carlos Zara, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Keep left, Distance: 132.3 meters, Time: 95.3 seconds
Name: -, Instruction: Turn right, Distance: 180.9 meters, Time: 130.2 seconds
Name: Avenida Embaixador Abelardo Bueno, Instruction: Turn slight left onto Avenida Embaixador Abelardo Bueno, Distance: 744.3 meters, Time: 535.9 seconds
Name: -, Instruction: Turn right, Distance: 194.4 meters, Time: 140.0 seconds
Name: -, Instruction: Turn right, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn left, Distance: 284.1 meters, Time: 204.5 seconds
Name: -, Instruction: Turn right, Distance: 73.1 meters, Time: 52.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
