Name: Augsburger Straße, Instruction: Head west on Augsburger Straße, Distance: 77.2 meters, Time: 55.6 seconds
Name: Untere Bahnhofstraße, Instruction: Turn sharp left onto Untere Bahnhofstraße, Distance: 304.9 meters, Time: 219.5 seconds
Name: Rathausplatz, Instruction: Continue straight onto Rathausplatz, Distance: 87.1 meters, Time: 62.7 seconds
Name: Untere Bahnhofstraße, Instruction: Continue straight onto Untere Bahnhofstraße, Distance: 255.8 meters, Time: 184.2 seconds
Name: Ludwig-Thoma-Straße, Instruction: Turn right onto Ludwig-Thoma-Straße, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 126.7 meters, Time: 91.2 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 163.7 meters, Time: 117.9 seconds
Name: -, Instruction: Turn slight left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 50.5 meters, Time: 36.3 seconds
Name: -, Instruction: Turn slight right, Distance: 74.0 meters, Time: 53.3 seconds
Name: Südendstraße, Instruction: Turn left onto Südendstraße, Distance: 228.1 meters, Time: 164.2 seconds
Name: -, Instruction: Arrive at Südendstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
