Name: Ryerson Avenue, Instruction: Head south on Ryerson Avenue, Distance: 41.8 meters, Time: 30.1 seconds
Name: Egerton Lane, Instruction: Turn right onto Egerton Lane, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: Carr Street, Instruction: Turn right onto Carr Street, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 105.1 meters, Time: 75.7 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Wolseley Street, Instruction: Turn right onto Wolseley Street, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 85.5 meters, Time: 61.6 seconds
Name: -, Instruction: Turn right, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 126.8 meters, Time: 91.3 seconds
Name: -, Instruction: Keep right, Distance: 387.5 meters, Time: 279.0 seconds
Name: -, Instruction: Keep right, Distance: 345.8 meters, Time: 248.9 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight left, Distance: 231.1 meters, Time: 166.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
