Name: Keele Street, Instruction: Head south on Keele Street, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 459.3 meters, Time: 330.7 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn slight left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Keep right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 383.0 meters, Time: 275.8 seconds
Name: Amesbury Drive, Instruction: Turn left onto Amesbury Drive, Distance: 91.1 meters, Time: 65.6 seconds
Name: Cavern Court, Instruction: Turn right onto Cavern Court, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at Cavern Court, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
