Name: Shellbank Lane, Instruction: Head southwest on Shellbank Lane, Distance: 57.1 meters, Time: 41.1 seconds
Name: Tahingamanu Road, Instruction: Turn right onto Tahingamanu Road, Distance: 120.5 meters, Time: 86.7 seconds
Name: Tahingamanu Road, Instruction: Continue straight onto Tahingamanu Road, Distance: 179.3 meters, Time: 129.1 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Turn left, Distance: 177.1 meters, Time: 127.5 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 63.7 meters, Time: 45.9 seconds
Name: Kotuku Lane, Instruction: Turn left onto Kotuku Lane, Distance: 6.6 meters, Time: 4.8 seconds
Name: Ponga Street, Instruction: Turn right onto Ponga Street, Distance: 24.4 meters, Time: 17.5 seconds
Name: Mapou Road, Instruction: Turn left onto Mapou Road, Distance: 359.3 meters, Time: 258.7 seconds
Name: -, Instruction: Turn right, Distance: 71.0 meters, Time: 51.1 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 474.1 meters, Time: 341.3 seconds
Name: -, Instruction: Turn slight right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
