Name: Rue d'Alexandrie, Instruction: Head northwest on Rue d'Alexandrie, Distance: 27.1 meters, Time: 19.5 seconds
Name: Galerie du Caire, Instruction: Turn left onto Galerie du Caire, Distance: 13.8 meters, Time: 9.9 seconds
Name: Galerie Sainte-Foy, Instruction: Turn left onto Galerie Sainte-Foy, Distance: 64.9 meters, Time: 46.7 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: Rue du Caire, Instruction: Turn left onto Rue du Caire, Distance: 5.6 meters, Time: 4.0 seconds
Name: Rue Dussoubs, Instruction: Turn right onto Rue Dussoubs, Distance: 111.3 meters, Time: 80.1 seconds
Name: Rue Dussoubs, Instruction: Continue straight onto Rue Dussoubs, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Continue straight, Distance: 4.7 meters, Time: 3.4 seconds
Name: Rue Dussoubs, Instruction: Continue straight onto Rue Dussoubs, Distance: 160.2 meters, Time: 115.3 seconds
Name: Rue Dussoubs, Instruction: Turn right onto Rue Dussoubs, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue Dussoubs, Instruction: Turn left onto Rue Dussoubs, Distance: 74.2 meters, Time: 53.4 seconds
Name: Rue Tiquetonne, Instruction: Turn right onto Rue Tiquetonne, Distance: 43.9 meters, Time: 31.6 seconds
Name: Rue Française, Instruction: Turn left onto Rue Française, Distance: 137.9 meters, Time: 99.3 seconds
Name: Rue de Turbigo, Instruction: Turn right onto Rue de Turbigo, Distance: 97.9 meters, Time: 70.5 seconds
Name: Rue de Turbigo, Instruction: Keep left onto Rue de Turbigo, Distance: 38.1 meters, Time: 27.4 seconds
Name: Rue Rambuteau, Instruction: Turn left onto Rue Rambuteau, Distance: 10.0 meters, Time: 7.2 seconds
Name: Allée André-Breton, Instruction: Turn right onto Allée André-Breton, Distance: 134.6 meters, Time: 96.9 seconds
Name: Allée Blaise-Cendrars, Instruction: Turn left onto Allée Blaise-Cendrars, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: Place Maurice Quentin, Instruction: Continue straight onto Place Maurice Quentin, Distance: 32.8 meters, Time: 23.6 seconds
Name: Place Maurice Quentin, Instruction: Keep right onto Place Maurice Quentin, Distance: 5.4 meters, Time: 3.9 seconds
Name: Rue du Pont Neuf, Instruction: Turn left onto Rue du Pont Neuf, Distance: 248.3 meters, Time: 178.7 seconds
Name: Accès Parking Rivoli - Pont Neuf, Instruction: Keep left onto Accès Parking Rivoli - Pont Neuf, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Keep right, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Keep left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn slight left, Distance: 140.9 meters, Time: 101.5 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep right, Distance: 17.4 meters, Time: 12.6 seconds
Name: -, Instruction: Keep left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Keep right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn slight right, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Keep right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Turn slight left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 37.3 meters, Time: 26.8 seconds
Name: Passage Dauphine, Instruction: Turn right onto Passage Dauphine, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
