Name: Calle Ocoroni, Instruction: Head north on Calle Ocoroni, Distance: 102.3 meters, Time: 73.6 seconds
Name: Calle Pericu, Instruction: Turn left onto Calle Pericu, Distance: 13.6 meters, Time: 9.8 seconds
Name: Calle Olive, Instruction: Turn right onto Calle Olive, Distance: 156.6 meters, Time: 112.8 seconds
Name: Cerrada Lenguas Indígenas, Instruction: Turn left onto Cerrada Lenguas Indígenas, Distance: 347.8 meters, Time: 250.4 seconds
Name: Avenida Río Churubusco, Instruction: Turn left onto Avenida Río Churubusco, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 121.8 meters, Time: 87.7 seconds
Name: Avenida Río Churubusco, Instruction: Turn left onto Avenida Río Churubusco, Distance: 121.7 meters, Time: 87.6 seconds
Name: Avenida Girasol, Instruction: Turn left onto Avenida Girasol, Distance: 404.3 meters, Time: 291.1 seconds
Name: -, Instruction: Keep right, Distance: 76.9 meters, Time: 55.3 seconds
Name: -, Instruction: Turn right, Distance: 102.2 meters, Time: 73.6 seconds
Name: -, Instruction: Turn left, Distance: 37.4 meters, Time: 27.0 seconds
Name: -, Instruction: Turn slight right, Distance: 20.8 meters, Time: 14.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
