Name: Grosvenor Road, A3212, Instruction: Head west on Grosvenor Road, A3212, Distance: 51.7 meters, Time: 37.2 seconds
Name: Claverton Street, Instruction: Turn right onto Claverton Street, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 867.7 meters, Time: 624.7 seconds
Name: -, Instruction: Turn left, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 33.7 meters, Time: 24.3 seconds
Name: Chelsea Bridge, Instruction: Turn sharp left onto Chelsea Bridge, Distance: 265.1 meters, Time: 190.9 seconds
Name: -, Instruction: Continue straight, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.0 seconds
Name: Carriage Drive North, Instruction: Turn right onto Carriage Drive North, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn slight left, Distance: 187.9 meters, Time: 135.3 seconds
Name: -, Instruction: Turn right, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 100.5 meters, Time: 72.4 seconds
Name: -, Instruction: Turn left, Distance: 161.2 meters, Time: 116.1 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.5 seconds
Name: Carriage Drive South, Instruction: Turn slight left onto Carriage Drive South, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn left, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
